state1,ccode1,year,irst1,milex1,milper1,pec1,tpop1,upop1,cinc1,MIDs1,Wars1,GP1,Dem1,state2,ccode2,irst2,milex2,milper2,pec2,tpop2,upop2,cinc2,MIDs2,Wars2,GP2,Dem2,irstDif,milexDif,milperDif,pecDif,tpopDif,upopDif,CincDif,BothGP,Nuclear1,Nuclear2,BothNuclear,OneNuclear,MIDs,HighMIDs,FatalMIDs,Wars,Prev1MIDs,Prev1HighMIDs,Prev1FatalMIDs,Prev1Wars,Prev5MIDs,Prev5HighMIDs,Prev5FatalMIDs,Prev5Wars,Prev10MIDs,Prev10HighMIDs,Prev10FatalMIDs,Prev10Wars,Prev20MIDs,Prev20HighMIDs,Prev20FatalMIDs,Prev20Wars,Prev30MIDs,Prev30HighMIDs,Prev30FatalMIDs,Prev30Wars,JointDem,JointNonDem,Contiguous,Trade,Distance,Alliance,WarWithAlly,logPrev1MIDs,logPrev5MIDs,logPrev10MIDs,logPrev20MIDs,logPrev30MIDs
FRN,220,1855,849,43844,645,12340,36080,2072,0.1463942,0,0,1,0,UKG,200,3270,36520,329,71561,27822,5052,0.29753,0,0,1,0,0.740366972477064,0.16704680229906,0.489922480620155,0.827559704308213,0.228880266075388,0.589865399841647,0.507968272107014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,NA,340.793,1,0,0,0,0,0.693147180559945,0.693147180559945
AUH,300,1855,276,17078,427,1334,37102,958,0.0701292,0,0,1,NA,USA,2,711,5892,26,14651,27386,1760,0.0759974,0,0,0,1,0.611814345991561,0.654994730062068,0.939110070257611,0.90894819466248,0.261872675327476,0.455681818181818,0.0772157994878773,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,0,0.693147180559945,0,0,0
AUH,300,1855,276,17078,427,1334,37102,958,0.0701292,0,0,1,NA,UKG,200,3270,36520,329,71561,27822,5052,0.29753,0,0,1,0,0.915596330275229,0.53236582694414,0.229508196721311,0.981358561227484,0.250121287262142,0.810372129849565,0.76429536517326,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,1,0,0,0,0,0,0
AUH,300,1855,276,17078,427,1334,37102,958,0.0701292,0,0,1,NA,FRN,220,849,43844,645,12340,36080,2072,0.1463942,0,0,1,0,0.674911660777385,0.610482620198887,0.337984496124031,0.891896272285251,0.0275456848687402,0.537644787644788,0.520956431334028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,NA,0,NA,NA,1,0,0,0,0.693147180559945,0.693147180559945,0
RUS,365,1855,251,39809,1550,156,71100,1088,0.1532064,0,0,1,0,USA,2,711,5892,26,14651,27386,1760,0.0759974,0,0,0,1,0.646976090014065,0.851993267854003,0.983225806451613,0.989352262644188,0.614824191279888,0.381818181818182,0.503954142907868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,7827.286,0,0,0,0,0,0,0
RUS,365,1855,251,39809,1550,156,71100,1088,0.1532064,0,0,1,0,UKG,200,3270,36520,329,71561,27822,5052,0.29753,0,0,1,0,0.923241590214067,0.082619508151423,0.787741935483871,0.997820041642794,0.608691983122363,0.784639746634996,0.485072429670958,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,NA,2500.5,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945
RUS,365,1855,251,39809,1550,156,71100,1088,0.1532064,0,0,1,0,FRN,220,849,43844,645,12340,36080,2072,0.1463942,0,0,1,0,0.704358068315665,0.0920308366024998,0.583870967741935,0.987358184764992,0.492545710267229,0.474903474903475,0.0444641999289846,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,NA,2486.844,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945
RUS,365,1855,251,39809,1550,156,71100,1088,0.1532064,0,0,1,0,AUH,300,276,17078,427,1334,37102,958,0.0701292,0,0,1,NA,0.0905797101449275,0.571001532316813,0.724516129032258,0.883058470764618,0.47817158931083,0.119485294117647,0.542256720345886,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,1,0,0.693147180559945,0,0,0,0
UKG,200,1856,3644,32369,382,73272,28011,5162,0.2956996,0,0,1,0,USA,2,801,6117,26,15378,28212,1908,0.0784092,0,0,0,1,0.780186608122942,0.811022892273472,0.931937172774869,0.790124467736652,0.00712462781794981,0.630375823324293,0.734834947358738,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,NA,5904.034,0,0,0,1.09861228866811,1.09861228866811,1.09861228866811,0
FRN,220,1856,923,36391,645,12870,36190,2192,0.1404021,0,0,1,0,USA,2,801,6117,26,15378,28212,1908,0.0784092,0,0,0,1,0.132177681473456,0.831908988486164,0.95968992248062,0.163090128755365,0.220447637468914,0.12956204379562,0.441538267590015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,6168.601,0,0,0,0,0,0,0.693147180559945
FRN,220,1856,923,36391,645,12870,36190,2192,0.1404021,0,0,1,0,UKG,200,3644,32369,382,73272,28011,5162,0.2956996,0,0,1,0,0.746706915477497,0.110521832321178,0.407751937984496,0.824353095316083,0.226001657916552,0.57535838822162,0.525186709755441,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,NA,340.793,1,0,0,0,0,0.693147180559945,0.693147180559945
AUH,300,1856,300,11198,427,1552,37221,985,0.0635674,0,0,1,NA,USA,2,801,6117,26,15378,28212,1908,0.0784092,0,0,0,1,0.625468164794007,0.453741739596356,0.939110070257611,0.899076602939264,0.24204078342871,0.483752620545073,0.189286461282605,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,0,0.693147180559945,0,0,0
AUH,300,1856,300,11198,427,1552,37221,985,0.0635674,0,0,1,NA,UKG,200,3644,32369,382,73272,28011,5162,0.2956996,0,0,1,0,0.917672886937431,0.654051716148166,0.105386416861827,0.978818648324053,0.247440960747965,0.809182487407981,0.785027101829018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,1,0,0,0,0,0,0
AUH,300,1856,300,11198,427,1552,37221,985,0.0635674,0,0,1,NA,FRN,220,923,36391,645,12870,36190,2192,0.1404021,0,0,1,0,0.674972914409534,0.692286554367838,0.337984496124031,0.879409479409479,0.027699416995782,0.550638686131387,0.547247512679654,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,NA,0,NA,NA,1,0,0,0,0.693147180559945,0.693147180559945,0
RUS,365,1856,259,37900,2000,180,71600,1097,0.164031,0,0,1,0,USA,2,801,6117,26,15378,28212,1908,0.0784092,0,0,0,1,0.67665418227216,0.838601583113456,0.987,0.988294966835739,0.605977653631285,0.425052410901468,0.521985478354701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,7827.286,0,0,0,0,0,0,0
RUS,365,1856,259,37900,2000,180,71600,1097,0.164031,0,0,1,0,UKG,200,3644,32369,382,73272,28011,5162,0.2956996,0,0,1,0,0.928924259055982,0.145936675461741,0.809,0.997543399934491,0.608784916201117,0.787485470747772,0.445278248600945,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,NA,2500.5,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945
RUS,365,1856,259,37900,2000,180,71600,1097,0.164031,0,0,1,0,FRN,220,923,36391,645,12870,36190,2192,0.1404021,0,0,1,0,0.719393282773565,0.0398153034300792,0.6775,0.986013986013986,0.494553072625698,0.499543795620438,0.144051429302998,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,NA,2486.844,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945
RUS,365,1856,259,37900,2000,180,71600,1097,0.164031,0,0,1,0,AUH,300,300,11198,427,1552,37221,985,0.0635674,0,0,1,NA,0.136666666666667,0.704538258575198,0.7865,0.884020618556701,0.480153631284916,0.102096627164995,0.612467155598637,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0.693147180559945,0,0,0
UKG,200,1857,3718,18866,272,75317,28187,5275,0.2900489,0,0,1,0,USA,2,724,7499,27,15779,29037,2069,0.0832949,0,0,0,1,0.805271651425498,0.60251245627054,0.900735294117647,0.790498824966475,0.0292729965216792,0.607772511848341,0.712824630605391,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,5904.034,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0
FRN,220,1857,992,22006,528,13148,36300,2318,0.1394619,0,0,1,0,USA,2,724,7499,27,15779,29037,2069,0.0832949,0,0,0,1,0.270161290322581,0.6592293010997,0.948863636363636,0.166740604601052,0.200082644628099,0.107420189818809,0.4027408202527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,6168.601,0,0,0,0,0,0,0.693147180559945
FRN,220,1857,992,22006,528,13148,36300,2318,0.1394619,0,0,1,0,UKG,200,3718,18866,272,75317,28187,5275,0.2900489,0,0,1,0,0.733189887036041,0.142688357720622,0.484848484848485,0.825431177556196,0.223498622589532,0.560568720379147,0.519177973093503,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,NA,340.793,1,0,0,0,0,0.693147180559945,0.693147180559945
AUH,300,1857,331,11607,427,1839,37340,1014,0.075959,0,0,1,NA,USA,2,724,7499,27,15779,29037,2069,0.0832949,0,0,0,1,0.542817679558011,0.353924355992074,0.936768149882904,0.883452690284555,0.222362078200321,0.509908168197197,0.0880714185382299,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,0,0.693147180559945,0,0,0
AUH,300,1857,331,11607,427,1839,37340,1014,0.075959,0,0,1,NA,UKG,200,3718,18866,272,75317,28187,5275,0.2900489,0,0,1,0,0.910973641742873,0.384766246157108,0.362997658079625,0.975583201667618,0.245125870380289,0.807772511848341,0.738116572757214,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,1,0,0,0,0,0,0
